rid,fcid,service,date,need,entity,family_of_missing,survivor_of_detention,primary_torture,secondary_torture,sexual_violation_a,sexual_violation_p,hrd,journalist,wov,stgbv,lgbti,other,sex,age
R0393,8110050086.0,cm,2024-02-23,Cash assistance,أورنج,Yes,Yes,Yes,Yes,,,,,Yes,Yes,No,No,Female,48
R0066,8110060006.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,55
R0343,8110020116.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,Yes,No,No,Female,46
R0540,8110050091.0,cm,2024-02-23,Cash assistance,أورنج,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Female,46
R0510,8110050090.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,60
R0870,8110110009.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,47
R0290,8110020085.0,cm,2024-02-23,Cash assistance,أورنج,No,No,No,Yes,,,,,Yes,No,No,No,Female,34
R0874,8110020127.0,cm,2024-02-23,Cash assistance,أورنج,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Female,53
R0327,8110020095.0,cm,2024-02-23,Cash assistance,أورنج,No,No,Yes,Yes,,,,,Yes,No,No,No,Female,46
R0801,8110080019.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Female,42
R0298,8110020089.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,36
R0120,8110020106.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Male,44
R0183,8110020101.0,cm,2024-02-23,Cash assistance,أورنج,Yes,No,No,Yes,,,,,Yes,No,No,No,Male,48
R0599,8110050093.0,cm,2024-02-23,Cash assistance,أورنج,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Male,56
R0487,8110080005.0,cm,2024-02-23,Cash assistance,أورنج,No,No,No,No,No,No,No,No,Yes,No,No,No,Male,59
